@relation training-weka.filters.supervised.instance.SMOTE-C0-K5-P4900.0-S1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.SMOTE-C0-K5-P4900.0-S1-weka.filters.unsupervised.attribute.Remove-R1

@attribute FREC_DOM numeric
@attribute FREC_POS numeric
@attribute MI_CI numeric
@attribute Phenotype {damaging,neutral}

@data
3.13,1.71,66.37,neutral
8.67,1.76,95.89,neutral
18.93,20.73,70.52,neutral
18.58,0.15,48.27,neutral
31.88,3.63,121.72,neutral
12.59,5.47,95.21,neutral
14.99,65.52,86.31,neutral
12.59,6.9,81.94,neutral
8.99,3,72.88,neutral
14.8,7.49,122.23,neutral
3.1,1.28,137.09,neutral
31.23,1.04,131.71,neutral
21.06,11.12,30.38,neutral
15.96,33.22,65.3,neutral
8.4,0.02,0.41,neutral
9.22,14.35,70.94,neutral
23.86,1.26,92.87,neutral
12.7,3.02,120.53,neutral
2.55,0,124.47,neutral
11.58,1.2,66.63,neutral
14.99,0.96,78.48,neutral
0.09,0,99.65,neutral
5.72,1.78,120.97,neutral
0.37,0.02,99.51,neutral
11.31,3.18,129.7,neutral
31.88,25.72,109.22,neutral
31.88,4.29,37.77,neutral
3.81,0.93,114.03,neutral
12.59,48.7,42.04,neutral
9.22,13.17,36.96,neutral
14.99,0.04,96.2,neutral
23.86,37.99,81.14,neutral
23.65,59.34,41.69,neutral
11.58,1.22,118.3,neutral
10.69,1.28,78.06,neutral
3.33,1.2,61.3,neutral
2.86,2.57,114.01,neutral
5.31,16.2,50.43,neutral
11,0.35,116.96,neutral
8.79,3.41,18.41,neutral
8.86,4.02,62.4,neutral
9.42,0.12,33.9,neutral
23.86,7.19,70.65,neutral
6.78,0.78,41.02,neutral
20.78,4.18,130.8,neutral
19.51,2.75,88.97,neutral
11,17,49.14,neutral
13.2,2.34,127.37,neutral
9.22,0.85,71.16,neutral
12.59,0.99,77.45,neutral
16.21,13.09,91.17,neutral
16.07,12.77,65.26,neutral
23.86,23.53,139.03,neutral
18.44,8.49,72.54,neutral
7.47,4.25,61.58,neutral
1.63,0.56,124.7,neutral
18.93,27.36,38.18,neutral
14.8,1.42,61.54,neutral
12.59,12.97,75.4,neutral
0.41,0.19,95.87,neutral
22.67,1.98,64.19,neutral
6.78,27.72,74.62,neutral
19.29,25.8,73.39,neutral
18.58,0.23,114.75,neutral
9.78,18.07,84.17,neutral
12.59,21.51,97.51,neutral
1.78,0.02,101.87,neutral
0.38,0.62,68.64,neutral
8.86,2.01,119.42,neutral
21.86,1.22,48.96,neutral
8.65,0.14,100.08,neutral
12.59,1.01,28.74,neutral
9.22,17.56,52.64,neutral
3.33,3.67,47.91,neutral
8.86,11.77,55.39,neutral
10.04,7.85,101.24,neutral
23.86,26.46,78.21,neutral
12.66,1.14,108.08,neutral
12.81,0.54,95.59,neutral
5.63,0.04,122.87,neutral
8.86,8.65,48.82,neutral
4.75,1.22,66.37,neutral
8.67,8.91,22.19,neutral
9.22,4.25,70.4,neutral
9.37,8.4,71.56,neutral
20.79,2.38,99.04,neutral
3.37,0,130.04,neutral
11.31,2.94,53.25,neutral
5.33,3.83,35.46,neutral
9.37,8.21,101.13,neutral
4.93,1.68,120.14,neutral
14.8,9.1,33.98,neutral
11.58,1.82,63.75,neutral
8.79,4.09,76.16,neutral
8.99,0.59,61.1,neutral
2.66,0.04,99.81,neutral
32.31,44.58,21.74,neutral
0.88,0.04,98.53,neutral
0.37,0.33,132.37,neutral
25.97,7.38,100.55,neutral
4.07,0.66,115.5,neutral
9.22,2.97,47.49,neutral
21.86,10.7,34.81,neutral
15.96,4.82,58.54,neutral
14.8,1.62,132.23,neutral
36.72,16.08,73.34,neutral
1.34,0,113.86,neutral
12.05,3.43,64.91,neutral
3.25,0.62,24.29,neutral
14.79,0.18,111.92,neutral
8.86,1.12,127.9,neutral
16.42,1.82,89.47,neutral
14.8,1.87,148.34,neutral
3.91,0.16,127.19,neutral
34.56,0.42,141.05,neutral
33.81,43.14,78.14,neutral
8.79,3.92,47.98,neutral
9.42,0.16,103.46,neutral
17.36,18.3,87.57,neutral
1.31,0.02,115.09,neutral
11.63,0.85,99.7,neutral
24.66,25.95,96.94,neutral
11,1.32,80.81,neutral
1.67,0.06,120.82,neutral
1.67,0.04,85.92,neutral
14.8,13.84,91.28,neutral
9.08,0.54,65.14,neutral
17.36,17.93,29.2,neutral
12.05,25.24,104.08,neutral
11,10.5,77.82,neutral
6.78,4.81,75.92,neutral
15.31,1.18,116.23,neutral
33.81,28.93,58.94,neutral
8.64,0.28,34.6,neutral
1.08,0.47,69.04,neutral
2.61,1.49,89.85,neutral
21.27,5.97,83.11,neutral
15.52,0.04,99.67,neutral
19.29,40.65,49.62,neutral
1.08,0.04,145.19,neutral
38.69,73.83,33.44,neutral
0.9,0.09,40.43,neutral
17.36,2.83,60.02,neutral
2.97,0.12,122.28,neutral
31.88,4.97,126.39,neutral
4.75,3.26,69.96,neutral
23.86,61.43,59.48,neutral
13.9,34.31,52.53,neutral
31.23,19.27,119.35,neutral
16.21,2.66,67.51,neutral
14.8,73.42,71.34,neutral
23.86,60.04,58.08,neutral
9.22,0.34,87.65,neutral
6.78,0.08,140.35,neutral
11.58,0.35,119.42,neutral
9.22,0.1,81.81,neutral
12.93,0.21,69.81,neutral
12.59,50.98,69.05,neutral
21.86,1.02,118,neutral
9.53,1.42,82.83,neutral
0.33,0.06,122.4,neutral
14.53,0.31,130.3,neutral
18.44,6.36,34.78,neutral
9.22,0.38,90.69,neutral
13.2,2.41,109.73,neutral
4.22,0.3,17.99,neutral
7.1,0.06,161.69,neutral
15.15,2.31,80.58,neutral
9.02,0.64,61.06,neutral
15.96,0.66,112.32,neutral
0.33,0.02,137.95,neutral
8.93,1.78,111.91,neutral
13.2,4.44,51.34,neutral
8.79,1,70.79,neutral
21.86,6.32,32.5,neutral
9.22,0.23,119.42,neutral
0.66,0.08,70.03,neutral
20.78,12.47,48.14,neutral
12.59,0.15,98.37,neutral
14.99,2.61,124.7,neutral
5.31,0.1,82.24,neutral
31.88,24.76,40.69,neutral
12.05,10.57,60.44,neutral
5.63,0.33,111.93,neutral
9.82,0.04,100.13,neutral
24.66,36.19,101.92,neutral
5.04,0,113.5,neutral
1.71,0.08,103.73,neutral
8.11,1.26,125.18,neutral
18.58,5.37,111.76,neutral
7.37,3.93,33.68,neutral
14.8,2.4,76.32,neutral
16.42,6.17,148.34,neutral
16.07,3.25,120.64,neutral
15.96,10.87,77.78,neutral
4.07,1.4,74.62,neutral
16.07,3.84,67.19,neutral
16.3,36.65,24.56,neutral
11.92,0,97.49,neutral
0.41,0,34.06,neutral
14.8,0.14,66.51,neutral
0.73,0,95.02,neutral
5.33,1.04,89.29,neutral
11.31,3.28,53.56,neutral
12.59,3.07,61.32,neutral
0.39,0.02,10.93,neutral
2.1,0.04,121.09,neutral
15.96,9.92,86.71,neutral
18.44,4.07,44.39,neutral
7.37,0.06,100.87,neutral
6.7,0.31,129.18,neutral
2.97,0,104.01,neutral
12.81,0.04,103.46,neutral
5.63,0.14,129.39,neutral
8.99,20.66,25.33,neutral
25.09,0.24,141.83,neutral
8.86,2.82,71.94,neutral
16.07,1.64,119.15,neutral
3.81,1.38,31.15,neutral
11.85,0.1,11.73,neutral
6.04,1.8,34.81,neutral
8.63,0.86,12.3,neutral
15.96,21.34,46.96,neutral
24.66,57.4,52.74,neutral
14.8,5.85,48.1,neutral
17.36,8.51,81.17,neutral
23.86,12.66,62.68,neutral
1.59,0.02,48.96,neutral
12.15,2.44,83.66,neutral
11.54,2.64,60.98,neutral
31.23,29.21,99,neutral
1.08,0,128.2,neutral
16.97,12.93,38.89,neutral
15.96,10.57,64.09,neutral
23.86,11.6,78.14,neutral
21.27,3.06,3.3,neutral
9.22,1.45,95.5,neutral
8.86,6.58,48.58,neutral
9.25,2.87,96.72,neutral
12.11,12.32,69.73,neutral
1.63,3.61,117.81,neutral
5.63,0.58,47.58,neutral
7.43,0.02,123.94,neutral
12.59,7.62,104.42,neutral
8.67,8.65,32.8,neutral
1.59,0.08,143.14,neutral
17.36,1.61,55.77,neutral
19.51,0.6,111.76,neutral
23.86,13.81,72.2,neutral
23.86,1.57,58.94,neutral
38.69,20.51,24.06,neutral
24.58,28.45,57.01,neutral
2.7,0.02,130.04,neutral
31.88,4.56,125.45,neutral
4.22,7.8,91.76,neutral
15.96,6.92,59.14,neutral
12.57,3.35,76.32,neutral
31.23,20.84,40.93,neutral
8.93,7.59,67.66,neutral
0.41,0.29,137.09,neutral
31.23,24.6,77.6,neutral
10.69,1.98,66.61,neutral
6.87,0.52,121.25,neutral
2.29,1.78,86.64,neutral
22.67,3.67,30.38,neutral
8.86,9.23,43.77,neutral
2.23,0.06,39.73,neutral
15.15,21.94,106.66,neutral
23.86,24.07,151.48,neutral
31.88,38.69,91.76,neutral
23.86,2.05,75.83,neutral
11,1.05,85.86,neutral
0.57,0,117.38,neutral
4.93,3.33,98.39,neutral
12.85,0.83,41.76,neutral
16.07,5.68,79.02,neutral
25.09,7.35,106.66,neutral
14.8,1.22,46,neutral
16.21,10.1,64.58,neutral
12.85,0.02,123.62,neutral
14.8,60.91,52.12,neutral
10.69,7.56,43.95,neutral
12.15,3.82,60.68,neutral
9.22,1.46,78.47,neutral
23.86,11.49,47.77,neutral
8.86,7.75,53.56,neutral
25.97,5.26,121.25,neutral
24.96,13.05,96.77,neutral
21.82,23.76,26.43,neutral
23.86,26.35,71.49,neutral
2.97,2.61,139.33,neutral
14.8,0,99.77,neutral
19.51,4.75,114.38,neutral
8.86,17.16,81.65,neutral
3.5,12.35,68.64,neutral
14.8,6.72,38.88,neutral
23.65,0.93,100.66,neutral
16.3,0.2,156.14,neutral
18.44,1.92,53.86,neutral
11.9,0.56,131.11,neutral
31.88,59.91,56.6,neutral
2.11,0.51,100.6,neutral
8.23,1.82,67.26,neutral
16.21,8.87,57.96,neutral
9.22,1.28,99.93,neutral
12.53,3.13,124.88,neutral
9.22,2.21,64.47,neutral
19.51,15.33,63.56,neutral
19.49,0.02,99.83,neutral
23.86,6.38,74.43,neutral
4.22,0,99.9,neutral
6.13,0.02,99.42,neutral
8.79,1.3,93.43,neutral
1.67,1.91,108.42,neutral
14.8,0,99.65,neutral
9.15,4.87,31.78,neutral
15.15,21.85,50.43,neutral
31.23,2.29,0.62,neutral
15.96,6.26,119.33,neutral
19.51,8.61,147.52,neutral
31.23,34.35,65.18,neutral
9.02,0.54,83.66,neutral
15.15,11.82,98.48,neutral
12.15,26.49,93.82,neutral
5.23,1.94,108.43,neutral
23.86,6.34,85.59,neutral
8.93,1.81,50.14,neutral
8.93,3.27,64.47,neutral
9.22,0.04,119.4,neutral
12.59,1.65,22.49,neutral
11.06,7.55,61.8,neutral
23.86,8.82,36.96,neutral
17.36,5.63,98.28,neutral
36.72,5.96,85.35,neutral
12.57,71.95,23.05,neutral
0.09,0,113.15,neutral
0.27,0,112.85,neutral
16.21,11.65,34.45,neutral
14.79,4.21,77.93,neutral
16.07,16.38,71.66,neutral
20.78,1.34,19.24,neutral
2.29,0.83,110.72,neutral
6.7,0.39,12.02,neutral
8.86,6.9,41.18,neutral
9.15,1.22,78.93,neutral
12.59,0.79,154.33,neutral
8.67,0.48,47.67,neutral
18.44,5.93,75.53,neutral
6.78,5.82,66.26,neutral
31.88,14.5,75.29,neutral
12.59,3.07,44.71,neutral
4.22,9,37.92,neutral
31.88,50.84,71.85,neutral
9.22,1.47,51.83,neutral
19.51,64.41,71.71,neutral
8.86,3.8,81.14,neutral
36.72,1.93,110.69,neutral
10.69,13.55,50.5,neutral
12.28,1.48,60.33,neutral
14.8,1.12,71.06,neutral
31.23,2.48,126.03,neutral
11.54,0.89,83.99,neutral
21.27,17.95,125.6,neutral
12.15,0.7,67.55,neutral
9.22,0.16,67.18,neutral
9.22,0,124.68,neutral
14.29,1.63,89.66,neutral
12.15,10.56,29.16,neutral
18.58,0.58,124.33,neutral
1.64,0,79.27,neutral
9.08,0,99.86,neutral
8.93,0.93,48.45,neutral
9.48,50.64,24.56,neutral
18.59,11.36,51.52,neutral
23.86,18.41,98.4,neutral
0.41,0.19,124.14,neutral
9.22,0.12,104.54,neutral
12.93,5.29,60.53,neutral
25.97,52.63,37.58,neutral
18.58,0.08,85.52,neutral
23.03,1.26,126.59,neutral
12.66,14.86,96.67,neutral
6.14,9.85,26.39,neutral
11.58,2.19,55.13,neutral
6.78,0.33,119.35,neutral
6.78,0.35,116.96,neutral
17.36,10.61,110.53,neutral
24.66,7.07,86.88,neutral
17.3,6.21,83.33,neutral
11.06,2.71,100.93,neutral
15.15,2.44,46.4,neutral
24.22,50.11,38.99,neutral
1.78,0,98.98,neutral
0.6,0,129.02,neutral
17.36,27.4,113.53,neutral
14.8,9.77,63.41,neutral
5.41,1.55,101.09,neutral
8.93,3.09,134.92,neutral
9.22,3.92,70.65,neutral
12.93,1.63,72.15,neutral
12.59,2.93,95.55,neutral
6.04,20.47,48.23,neutral
9.22,0.1,8.73,neutral
0.39,0.64,51.19,neutral
8.64,11.17,95.99,neutral
9.53,0.6,98.01,neutral
11.17,1.78,43.86,neutral
8.86,2.36,142.61,neutral
18.59,15.25,95.31,neutral
31.88,40.84,17.99,neutral
12.15,35.24,62.56,neutral
5.63,12.88,74.22,neutral
5.2,32.91,43.95,neutral
21.86,1.1,61.06,neutral
18.93,8.42,75.07,neutral
4.07,0,119.35,neutral
11,2.53,59.89,neutral
11.58,18.6,62.15,neutral
23.86,11.2,44.36,neutral
13.9,0,99.8,neutral
11.9,1.04,122.1,neutral
31.23,5.23,58.13,neutral
23.86,6.37,46.33,neutral
13.2,10.47,81.01,neutral
8.93,0.63,140.23,neutral
14.8,0.08,125.5,neutral
3.02,0,124.08,neutral
17.36,0.46,108.76,neutral
1.67,0.04,105.61,neutral
31.23,56.24,56.74,neutral
11.31,44.65,26.43,neutral
17.22,0.08,155.07,neutral
20.79,16.52,61.34,neutral
8.93,10.8,17.18,neutral
11.58,3.39,133.54,neutral
3.3,0.04,103.46,neutral
12.59,4.06,125.99,neutral
23.86,2.92,76.03,neutral
6.34,0.25,123.54,neutral
14.99,1.48,75.29,neutral
2.11,0.02,161.56,neutral
2.73,0.3,43.7,neutral
17.36,15.81,57.96,neutral
22.67,4.87,144.76,neutral
21.06,60.55,58.28,neutral
8.79,1.26,83.06,neutral
14.99,2.79,129,neutral
6.78,0.58,131.71,neutral
3.05,0.19,2.04,neutral
8.86,4.19,39.64,neutral
6.78,0.48,3.55,neutral
12.81,20.26,26.95,neutral
31.88,27.35,127.4,neutral
2.01,0.08,96.72,neutral
8.63,1.24,102.02,neutral
20.78,2.31,107.82,neutral
12.81,17.21,63.38,neutral
2.01,15.29,34.45,neutral
0.12,0.14,76.1,neutral
8.86,3.04,98.39,neutral
10.69,2.38,33.46,neutral
11.54,46.93,73.08,neutral
14.54,2.58,75.67,neutral
23.86,14.94,87.65,neutral
1.67,9.47,53.62,neutral
5.23,2.14,38.18,neutral
12.59,1.43,52.4,neutral
6.14,0.08,73.1,neutral
12.59,5.19,8.11,neutral
12.05,27.8,39.43,neutral
1.34,0.06,124.99,neutral
19.49,4.52,105.62,neutral
0.3,0,153.19,neutral
31.88,12.26,121.91,neutral
12.93,3.48,68.23,neutral
12.57,7.56,63.41,neutral
16.97,5.74,62.76,neutral
16.79,6.34,87.71,neutral
20.79,5.35,72.58,neutral
12.59,0.16,134.61,neutral
18.93,8.08,67.94,neutral
23.86,9.87,108.67,neutral
9.22,6.77,81.73,neutral
19.29,0.6,110.65,neutral
15.37,0.08,119.24,neutral
2.61,0.04,120.99,neutral
9.22,9.43,60.95,neutral
5.75,6.4,64,neutral
9.22,1.46,87.01,neutral
14.95,7,91.01,neutral
14.99,61.52,39.12,neutral
14.8,0.1,124.81,neutral
9.22,4.65,69.79,neutral
3.33,0.02,96.15,neutral
2.93,0.5,57.52,neutral
8.93,13.88,78.21,neutral
6.7,16.59,160.94,neutral
24.66,16.19,33.62,neutral
11.43,0.66,104.84,neutral
6.4,0.08,56.92,neutral
8.4,1.86,78.98,neutral
12.57,14.98,45.48,neutral
0.47,0.06,61.25,neutral
8.79,4.28,90.1,neutral
3.33,0.02,147.23,neutral
5.24,2.67,125.6,neutral
5.23,1.1,112.13,neutral
10.69,55.56,54.7,neutral
2.1,0.41,35.39,neutral
0.9,3.78,60.4,neutral
15.96,0.5,4.21,neutral
36.72,0.04,99.77,neutral
15.96,6.76,76.01,neutral
7.37,0.78,90.09,neutral
23.86,0.43,96.96,neutral
5.1,0.08,78.71,neutral
5.33,0.48,10.67,neutral
13.64,0.54,114.15,neutral
23.86,9.02,61.25,neutral
12.7,34.68,75.87,neutral
31.23,0.04,99.57,neutral
3.1,0.15,34.88,neutral
6.53,2.94,40.15,neutral
12.05,2.29,51.15,neutral
21.82,16.44,52.51,neutral
14.8,1.82,35.63,neutral
25.85,20.41,56.18,neutral
12.15,0.43,47.79,neutral
18.44,0.16,100.87,neutral
14.8,10.81,68.7,neutral
21.86,3.04,124.7,neutral
19.51,0.27,11.73,neutral
4.41,0.64,99.7,neutral
1.48,0,127.33,neutral
12.15,0.36,83.2,neutral
23.86,30.9,88.83,neutral
12.59,0.75,124.75,neutral
0.41,0.06,62.53,neutral
9.22,4.6,76.16,neutral
7.37,8.64,60.6,neutral
2.55,0.04,101.68,neutral
8.86,6,81.14,neutral
13.2,4.06,28.43,neutral
12.15,0.12,99.42,neutral
10.31,0.04,98.76,neutral
16.07,4.1,115.39,neutral
20.79,1.45,124.87,neutral
8.67,8.93,52.63,neutral
10.69,1.39,98.01,neutral
5.1,1.05,60.13,neutral
9.82,0.64,94.37,neutral
10.14,0.02,128.34,neutral
11.8,1.77,88.49,neutral
8.86,0.14,124.48,neutral
31.88,1.46,120.89,neutral
11.54,0.83,32.17,neutral
9.02,1.53,80.61,neutral
14.99,0.06,96.92,neutral
16.97,0.45,123.96,neutral
21.86,0,99.86,neutral
15.96,7.4,107.47,neutral
6.87,0.58,135.02,neutral
12.15,0.56,46.9,neutral
11.17,6.21,60.92,neutral
2.29,0.21,12.02,neutral
12.05,5.87,53.86,neutral
23.86,0.51,78.24,neutral
23.86,13.11,68.28,neutral
15.96,7.94,61.92,neutral
19.49,0.79,151.37,neutral
24.66,19.66,41.41,neutral
23.86,5.03,76.99,neutral
24.66,2.62,92.24,neutral
12.57,2.93,126.76,neutral
23.65,0.02,99.9,neutral
6.87,4.83,116.88,neutral
15.37,1.59,133.71,neutral
8.79,7.64,45.9,neutral
6.87,1.53,141.82,neutral
16.49,13.91,126.79,neutral
33.81,30.29,68.66,neutral
7.43,1.33,138.27,neutral
12.57,20.81,49.56,neutral
19.51,1.95,89.64,neutral
24.58,6.48,84.25,neutral
0.9,0.02,156.14,neutral
8.93,0,119.15,neutral
14.99,3.84,89.29,neutral
1.48,0.39,101.24,neutral
38.69,0.48,99.1,neutral
6.78,4.15,59.89,neutral
24.58,4.63,114.95,neutral
1.67,0.06,99.58,neutral
9.22,55.46,74.78,neutral
0.67,1.04,118.05,neutral
14.8,40.96,36.41,neutral
23.01,8.27,55.77,neutral
14.8,27.33,57.42,neutral
0.3,26.19,81.15,neutral
13.64,32.89,40.61,neutral
18.44,2.04,125.12,neutral
1.84,3.43,47.93,neutral
9.22,0.62,45.9,neutral
12.57,2.98,71.25,neutral
16.07,6.28,95.02,neutral
4.07,0.06,74.7,neutral
9.22,3.76,48.82,neutral
31.88,0.08,99.75,neutral
14.8,1.8,58.03,neutral
1.67,0.12,52.15,neutral
1.59,0.08,59.74,neutral
16.42,8.24,55.69,neutral
10.48,5.5,137.14,neutral
8.86,0.8,74.25,neutral
14.95,0.27,94.77,neutral
33.81,14.07,61.61,neutral
12.93,6.56,38.18,neutral
12.59,0.91,97.95,neutral
8.79,1.2,70.94,neutral
2.01,0.02,114.01,neutral
5.45,4.77,81.92,neutral
23.65,2.88,110.86,neutral
11.9,3.06,121.79,neutral
12.57,19.27,13.48,neutral
31.23,33.05,48.85,neutral
12.59,0.86,90.13,neutral
0.73,0.02,118.46,neutral
24.58,0.62,102.59,neutral
16.07,7.76,98.94,neutral
18.59,20.79,89.62,neutral
23.86,17.33,65.33,neutral
5.24,0.64,115.02,neutral
9.22,9.6,57.86,neutral
24.22,4.21,10.67,neutral
8.86,4.61,59.84,neutral
0.73,0.6,62.12,neutral
2.23,0.02,88.64,neutral
8.67,8.2,21.06,neutral
0.33,0,132.65,neutral
0.9,0.47,73.1,neutral
23.86,45.83,59.32,neutral
5.23,0.04,2.04,neutral
12.7,2.42,105.71,neutral
11.63,0.02,162.1,neutral
24.66,26.88,86.7,neutral
18.93,7.63,60.53,neutral
8.93,1.04,63.66,neutral
10.69,0.84,113.83,neutral
21.27,21.55,101.94,neutral
16.15,15.9,37.25,neutral
21.27,0.87,81.85,neutral
14.99,3.79,10.67,neutral
20.61,9.48,108.93,neutral
9.22,0.19,65.36,neutral
17.36,1.54,34.6,neutral
2.11,5.1,67.28,neutral
38.69,65.44,53.07,neutral
19.51,0.6,144.09,neutral
15.96,9.4,64.59,neutral
4.22,4,41.9,neutral
8.23,3.39,100.07,neutral
1.64,0.13,48.1,neutral
10.12,0.04,122.32,neutral
18.59,1.72,86.68,neutral
15.37,0.39,100.1,neutral
11.8,13.71,90.11,neutral
24.66,1.39,40.15,neutral
9.22,1.56,73.34,neutral
23.86,4.8,117.76,neutral
15.31,0,99.65,neutral
1.67,0.95,75.92,neutral
33.81,20.14,86.92,neutral
5.26,4.62,61.3,neutral
9.02,28.23,70.81,neutral
7.61,0.3,12.02,neutral
9.02,12.25,36.98,neutral
16.15,3.85,127.11,neutral
12.59,9.75,98.71,neutral
4.93,1.11,25.58,neutral
25.97,0.31,27.07,neutral
2.69,0.39,50.02,neutral
1,0.68,79.86,neutral
28.42,2.56,98.75,neutral
3.88,2.17,125.38,neutral
11.9,0.5,61.75,neutral
17.22,83.74,92.13,neutral
8.01,0.32,93.54,neutral
16.97,5,26.14,neutral
13.64,0.7,79.88,neutral
5.2,2.03,71.87,neutral
11.9,49.29,56.26,neutral
11,23.33,92.56,neutral
8.11,0.08,124.28,neutral
24.66,1.24,71.32,neutral
1.78,7.54,46.4,neutral
5.23,2.4,68.23,neutral
2.86,21.44,67.51,neutral
6.53,1.24,101.92,neutral
6.78,0.02,116.52,neutral
12.59,31.06,94.09,neutral
36.72,11.73,38.89,neutral
14.8,14.25,137.06,neutral
23.86,40.06,74.83,neutral
33.81,10.69,36.96,neutral
8.93,2.6,54.37,neutral
19.22,2.19,43.33,neutral
3.63,0.02,122.7,neutral
19.49,9,75.49,neutral
14.8,12.95,39.32,neutral
4.58,3.21,107.01,neutral
15.45,3.68,100.84,neutral
25.97,11.97,101.09,neutral
10.69,0.28,130.8,neutral
6.53,2.52,62.91,neutral
31.88,15.13,86.05,neutral
31.88,19.16,102.07,neutral
23.86,8.64,95.5,neutral
9.22,2.37,49.13,neutral
24.58,16.07,86.71,neutral
15.15,15.98,82.3,neutral
16.97,25.98,51.04,neutral
6.78,3.92,30.67,neutral
25.09,4.47,140.35,neutral
8.93,0.04,99.23,neutral
12.59,7.31,75.53,neutral
0.9,4.14,102.31,neutral
8.67,3.14,57.42,neutral
2.11,3.01,88.39,neutral
8.79,1.02,85.78,neutral
19.49,1.44,0.6,neutral
12.15,33.51,49.16,neutral
12.93,26.32,56.01,neutral
2.61,1.56,69.73,neutral
2.11,0.88,48.54,neutral
12.59,3.72,64,neutral
9.22,0.47,76.66,neutral
3.25,3.03,94.07,neutral
8.99,0.3,107.34,neutral
21.27,9.51,61.68,neutral
16.07,2.83,56.5,neutral
31.88,75.71,40.13,neutral
23.86,23.1,89.35,neutral
19.49,5.53,115.09,neutral
2.01,0.04,60.22,neutral
16.42,0.89,36.16,neutral
10.04,9.53,91.94,neutral
24.66,16.3,67.25,neutral
8.67,27.75,26.1,neutral
6.14,0.16,156.14,neutral
16.07,33.88,53.37,neutral
23.86,10.36,80.24,neutral
0.3,0,64.09,neutral
19.49,1.97,103,neutral
24.58,15.04,61.92,neutral
5.1,3.87,79.02,neutral
28.28,57.61,78.82,neutral
21.08,83.64,28.44,neutral
8.93,5.57,111.96,neutral
6.34,0.1,140.37,neutral
9.22,5.02,64.22,neutral
4.39,12.11,67.29,neutral
8.86,9,55.3,neutral
14.8,0.12,23.05,neutral
25.97,0.1,139,neutral
0.38,0.08,110.47,neutral
14.8,1.65,76.82,neutral
5.75,1.39,108.76,neutral
31.23,4.28,116.52,neutral
12.59,0.23,97.66,neutral
8.18,0.1,91.78,neutral
2.69,0.14,128.95,neutral
2.29,1.47,126.58,neutral
0.82,0,124.88,neutral
8.86,41.29,75.4,neutral
16.42,27.57,142.29,neutral
2.01,1.3,67.51,neutral
6.78,3.23,48.85,neutral
16.15,1.52,41.72,neutral
8.23,0.25,47.41,neutral
